Property_Title,Price_Lakhs,Area_SqFt,BHK,Bathrooms,Furnishing,Seller_Type,Locality,City,Source,Locality_Encoded,Furnishing_Encoded,Locality_Tier,Locality_Tier_Encoded,BHK_Tier_Interaction
5 BHK Flat for Sale in Ahmedabad,76.0,220.0,5.0,3.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,10.0
"2 BHK Flat for Sale in Madhav Orchid, Vastral, Ahmedabad",49.0,127.0,2.0,2.0,Furnished,Owner,"Madhav Orchid, Vastral, Ahmedabad",Ahmedabad,MagicBricks,479,0,High-End,1,2.0
"2 BHK Flat for Sale in Radhe Govind Galaxy, Naroda, Ahmedabad",35.0,1100.0,2.0,2.0,Semi-Furnished,Owner,"Radhe Govind Galaxy, Naroda, Ahmedabad",Ahmedabad,MagicBricks,675,1,Mid-Range,2,4.0
"3 BHK Flat for Sale in Shilp Residency, Gota, Ahmedabad",1.98,1707.0,3.0,3.0,Unfurnished,Owner,"Shilp Residency, Gota, Ahmedabad",Ahmedabad,MagicBricks,904,2,Budget,0,0.0
"Studio Apartment for Sale in Isanpur Road, Ahmedabad",62.0,1250.0,3.0,3.0,Unfurnished,Owner,"Isanpur Road, Ahmedabad",Ahmedabad,MagicBricks,386,2,High-End,1,3.0
"3 BHK Flat for Sale in The Festival Residency 2, Vaishnodevi Circle, Ahmedabad",59.0,1557.0,3.0,3.0,Unfurnished,Owner,"The Festival Residency 2, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,1112,2,Premium,3,9.0
"3 BHK Flat for Sale in Pacifica Reflections, Vaishnodevi Circle, Ahmedabad",96.0,960.0,3.0,3.0,Furnished,Agent,"Pacifica Reflections, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,611,0,Premium,3,9.0
"3 BHK Flat for Sale in Gota, Ahmedabad",90.0,1102.0,3.0,3.0,Furnished,Owner,"Gota, Ahmedabad",Ahmedabad,MagicBricks,324,0,Premium,3,9.0
"2 BHK Flat for Sale in Maningar East, Khokhra, Ahmedabad",52.5,718.0,2.0,2.0,Furnished,Owner,"Maningar East, Khokhra, Ahmedabad",Ahmedabad,MagicBricks,505,0,High-End,1,2.0
"2 BHK Flat for Sale in Garden Paradise, North Bopal, Ahmedabad",53.0,650.0,2.0,2.0,Furnished,Agent,"Garden Paradise, North Bopal, Ahmedabad",Ahmedabad,MagicBricks,301,0,High-End,1,2.0
"2 BHK Flat for Sale in Narayan Krupal Heritage, Prahlad Nagar, Ahmedabad",55.0,1368.0,2.0,2.0,Unfurnished,Owner,"Narayan Krupal Heritage, Prahlad Nagar, Ahmedabad",Ahmedabad,MagicBricks,543,2,High-End,1,2.0
"2 BHK Flat for Sale in Abhilasha Apartment, Satellite Road, Ahmedabad",62.0,120.0,2.0,2.0,Semi-Furnished,Owner,"Abhilasha Apartment, Satellite Road, Ahmedabad",Ahmedabad,MagicBricks,38,1,Premium,3,6.0
"2 BHK Flat for Sale in Sun Footprints, Shela, Ahmedabad",48.0,670.0,2.0,2.0,Unfurnished,Owner,"Sun Footprints, Shela, Ahmedabad",Ahmedabad,MagicBricks,1051,2,High-End,1,2.0
"2 BHK Flat for Sale in Chandkheda, Ahmedabad",65.0,1071.0,2.0,2.0,Furnished,Owner,"Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,193,0,High-End,1,2.0
"2 BHK Flat for Sale in Sanidhya Flora New Ranip, New Ranip, Ahmedabad",55.0,10000.0,2.0,2.0,Furnished,Owner,"Sanidhya Flora New Ranip, New Ranip, Ahmedabad",Ahmedabad,MagicBricks,788,0,High-End,1,2.0
"4 BHK Flat for Sale in Shilp Residency, Gota, Ahmedabad",1.7,3341.0,4.0,3.0,Unfurnished,Owner,"Shilp Residency, Gota, Ahmedabad",Ahmedabad,MagicBricks,904,2,Budget,0,0.0
"3 BHK Flat for Sale in SP ALORA, Adarsh Nagar Chandkheda, Ahmedabad",1.08,1980.0,3.0,3.0,Unfurnished,Owner,"Sp Alora, Adarsh Nagar Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,1035,2,Budget,0,0.0
"3 BHK Flat for Sale in Atlantis elevate, Vaishnodevi Circle, Ahmedabad",75.0,2250.0,3.0,3.0,Semi-Furnished,Owner,"Atlantis Elevate, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,140,1,Premium,3,9.0
"2 BHK Flat for Sale in Sola, Ahmedabad",67.0,449.0,2.0,2.0,Unfurnished,Owner,"Sola, Ahmedabad",Ahmedabad,MagicBricks,1030,2,Premium,3,6.0
"2 BHK Flat for Sale in Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",48.0,1129.0,2.0,2.0,Semi-Furnished,Owner,"Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",Ahmedabad,MagicBricks,753,1,High-End,1,2.0
"1 BHK Flat for Sale in Aslali, Ahmedabad",8.0,394.0,1.0,1.0,Unfurnished,Agent,"Aslali, Ahmedabad",Ahmedabad,MagicBricks,136,2,Budget,0,0.0
"2 BHK Flat for Sale in Sanskar Apartment, Satellite, Ahmedabad",85.0,150.0,2.0,2.0,Unfurnished,Owner,"Sanskar Apartment, Satellite, Ahmedabad",Ahmedabad,MagicBricks,793,2,Mid-Range,2,4.0
"1 BHK Flat for Sale in Dev manek Apartment, Akruti Township, Ahmedabad",15.0,5500.0,1.0,1.0,Semi-Furnished,Owner,"Dev Manek Apartment, Akruti Township, Ahmedabad",Ahmedabad,MagicBricks,220,1,Mid-Range,2,2.0
"3 BHK Flat for Sale in Shilp Revanta, Shela, Ahmedabad",61.9,867.0,3.0,3.0,Unfurnished,Agent,"Shilp Revanta, Shela, Ahmedabad",Ahmedabad,MagicBricks,905,2,Premium,3,9.0
"3 BHK Flat for Sale in Shaligram Prime, South Bopal, Bopal, Ahmedabad",1.11,923.0,3.0,3.0,Semi-Furnished,Owner,"Shaligram Prime, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,866,1,High-End,1,3.0
"2 BHK Flat for Sale in Venus Sky, Odhav, Ahmedabad",33.5,130.0,2.0,2.0,Unfurnished,Owner,"Venus Sky, Odhav, Ahmedabad",Ahmedabad,MagicBricks,1168,2,Mid-Range,2,4.0
2 BHK Flat for Sale in Ahmedabad,82.0,730.0,2.0,2.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,4.0
"3 BHK Flat for Sale in Shatrunjay Tower, Shyamal, Ahmedabad",1.25,1300.0,3.0,3.0,Unfurnished,Owner,"Shatrunjay Tower, Shyamal, Ahmedabad",Ahmedabad,MagicBricks,888,2,Budget,0,0.0
"3 BHK Flat for Sale in Saral Sparsh Arham , Vasna, Ahmedabad",77.6,1760.0,3.0,3.0,Unfurnished,Owner,"Saral Sparsh Arham , Vasna, Ahmedabad",Ahmedabad,MagicBricks,802,2,Premium,3,9.0
"1 BHK Flat for Sale in Prakash Nagar, Ghodasar, Ahmedabad",33.0,650.0,1.0,1.0,Unfurnished,Owner,"Prakash Nagar, Ghodasar, Ahmedabad",Ahmedabad,MagicBricks,645,2,Mid-Range,2,2.0
"1 BHK Flat for Sale in Suvarna Apartments, Ranip, Ahmedabad",40.0,630.0,1.0,1.0,Semi-Furnished,Owner,"Suvarna Apartments, Ranip, Ahmedabad",Ahmedabad,MagicBricks,1076,1,Mid-Range,2,2.0
"3 BHK Flat for Sale in Saanvi Nirman Estella, Ghuma, Ahmedabad",68.1,859.0,3.0,3.0,Unfurnished,Owner,"Saanvi Nirman Estella, Ghuma, Ahmedabad",Ahmedabad,MagicBricks,736,2,Premium,3,9.0
2 BHK Flat for Sale in Ahmedabad,19.0,424.0,2.0,2.0,Semi-Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,1,Mid-Range,2,4.0
"2 BHK Flat for Sale in Isanpur, Ahmedabad",30.0,120.0,2.0,2.0,Unfurnished,Owner,"Isanpur, Ahmedabad",Ahmedabad,MagicBricks,387,2,Mid-Range,2,4.0
"1 BHK Flat for Sale in Umang Vatva, Vatva, Ahmedabad",7.3,4000.0,1.0,1.0,Semi-Furnished,Owner,"Umang Vatva, Vatva, Ahmedabad",Ahmedabad,MagicBricks,1131,1,Mid-Range,2,2.0
"2 BHK Flat for Sale in Smarana, Vejalpur, Jivraj park, Ahmedabad",48.0,945.0,2.0,2.0,Semi-Furnished,Owner,"Smarana, Vejalpur, Jivraj Park, Ahmedabad",Ahmedabad,MagicBricks,1023,1,High-End,1,2.0
"2 BHK Flat for Sale in Nehru Nagar Ambawadi, Ahmedabad",78.0,6900.0,2.0,2.0,Furnished,Owner,"Nehru Nagar Ambawadi, Ahmedabad",Ahmedabad,MagicBricks,565,0,Premium,3,6.0
"2 BHK Flat for Sale in Milap Shree Sanidhya Flora, Shela, Ahmedabad",65.0,680.0,2.0,2.0,Furnished,Owner,"Milap Shree Sanidhya Flora, Shela, Ahmedabad",Ahmedabad,MagicBricks,526,0,Premium,3,6.0
"1 BHK Flat for Sale in Dharm Dhayn Residency, Ramol, Amraiwadi, Ahmedabad",19.5,720.0,1.0,1.0,Unfurnished,Owner,"Dharm Dhayn Residency, Ramol, Amraiwadi, Ahmedabad",Ahmedabad,MagicBricks,233,2,Mid-Range,2,2.0
"4 BHK Flat for Sale in Goyal Orchid Legacy, Shela, Ahmedabad",2.2,2585.0,4.0,3.0,Furnished,Agent,"Goyal Orchid Legacy, Shela, Ahmedabad",Ahmedabad,MagicBricks,332,0,Budget,0,0.0
"2 BHK Flat for Sale in Jodhpur Village, Jodhpur, Ahmedabad",52.5,642.0,2.0,2.0,Semi-Furnished,Owner,"Jodhpur Village, Jodhpur, Ahmedabad",Ahmedabad,MagicBricks,402,1,Premium,3,6.0
"3 BHK Flat for Sale in Vastrapur, Ahmedabad",2.15,2500.0,3.0,3.0,Furnished,Agent,"Vastrapur, Ahmedabad",Ahmedabad,MagicBricks,1160,0,Mid-Range,2,6.0
"3 BHK Flat for Sale in Mount Brook And Lake, Tragad, Ahmedabad",1.25,1685.0,3.0,3.0,Unfurnished,Owner,"Mount Brook And Lake, Tragad, Ahmedabad",Ahmedabad,MagicBricks,534,2,Budget,0,0.0
"3 BHK Flat for Sale in Ratnaakar Verte, South Bopal, Bopal, Ahmedabad",1.1,1435.0,3.0,3.0,Furnished,Owner,"Ratnaakar Verte, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,707,0,Mid-Range,2,6.0
"3 BHK Flat for Sale in ICB Flora, Gota, Ahmedabad",1.0,124.0,3.0,3.0,Furnished,Agent,"Icb Flora, Gota, Ahmedabad",Ahmedabad,MagicBricks,376,0,Mid-Range,2,6.0
"3 BHK Flat for Sale in Vedant Shreeji Enclave, Sola, Ahmedabad",95.0,1539.0,3.0,3.0,Furnished,Owner,"Vedant Shreeji Enclave, Sola, Ahmedabad",Ahmedabad,MagicBricks,1164,0,Premium,3,9.0
"3 BHK Flat for Sale in Nathalal Colony, Navrangpura, Ahmedabad",1.5,265.0,3.0,3.0,Furnished,Owner,"Nathalal Colony, Navrangpura, Ahmedabad",Ahmedabad,MagicBricks,551,0,Budget,0,0.0
"2 BHK Flat for Sale in Elite Ornate, Tragad, Ahmedabad",75.0,979.0,2.0,2.0,Furnished,Owner,"Elite Ornate, Tragad, Ahmedabad",Ahmedabad,MagicBricks,258,0,Premium,3,6.0
"3 BHK Flat for Sale in Chandkheda, Ahmedabad",86.0,1134.0,3.0,3.0,Furnished,Owner,"Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,193,0,High-End,1,3.0
"2 BHK Flat for Sale in Madhuram Sky, Nigam Nagar, Chandkheda, Ahmedabad",50.0,6000.0,2.0,2.0,Semi-Furnished,Owner,"Madhuram Sky, Nigam Nagar, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,482,1,High-End,1,2.0
"2 BHK Flat for Sale in Mahadev Platinum, Ghodasar, Ahmedabad",38.0,110.0,2.0,2.0,Semi-Furnished,Owner,"Mahadev Platinum, Ghodasar, Ahmedabad",Ahmedabad,MagicBricks,485,1,Mid-Range,2,4.0
"1 BHK Flat for Sale in Anand Apartment, Hathijan, Ahmedabad",17.0,675.0,1.0,1.0,Semi-Furnished,Owner,"Anand Apartment, Hathijan, Ahmedabad",Ahmedabad,MagicBricks,84,1,Mid-Range,2,2.0
"2 BHK Flat for Sale in Ample Infra Tulsi Residency, Naroda, Ahmedabad",31.2,112.0,2.0,2.0,Furnished,Owner,"Ample Infra Tulsi Residency, Naroda, Ahmedabad",Ahmedabad,MagicBricks,81,0,Mid-Range,2,4.0
"3 BHK Flat for Sale in Adani Archway, Jagatpur, Ahmedabad",1.4,1936.0,3.0,3.0,Unfurnished,Owner,"Adani Archway, Jagatpur, Ahmedabad",Ahmedabad,MagicBricks,46,2,Budget,0,0.0
"3 BHK Flat for Sale in Sun Skyview, Shela, Ahmedabad",79.2,1660.0,3.0,3.0,Unfurnished,Owner,"Sun Skyview, Shela, Ahmedabad",Ahmedabad,MagicBricks,1056,2,Premium,3,9.0
"2 BHK Flat for Sale in Kalash 2 Enclave, Vatva, Ahmedabad",44.0,1260.0,2.0,2.0,Semi-Furnished,Owner,"Kalash 2 Enclave, Vatva, Ahmedabad",Ahmedabad,MagicBricks,415,1,High-End,1,2.0
"5 BHK Flat for Sale in The Royal Revanta, Naroda, Ahmedabad",2.1,611.0,5.0,3.0,Unfurnished,Owner,"The Royal Revanta, Naroda, Ahmedabad",Ahmedabad,MagicBricks,1116,2,Budget,0,0.0
"2 BHK Flat for Sale in Ramdev Nagar, Ahmedabad",1.0,574.0,2.0,2.0,Unfurnished,Owner,"Ramdev Nagar, Ahmedabad",Ahmedabad,MagicBricks,698,2,Budget,0,0.0
"3 BHK Flat for Sale in Chimanlal Girdharlal Road, Ahmedabad",96.0,177.0,3.0,3.0,Unfurnished,Owner,"Chimanlal Girdharlal Road, Ahmedabad",Ahmedabad,MagicBricks,198,2,High-End,1,3.0
"1 BHK Flat for Sale in Nava Naroda, Ahmedabad",17.0,8300.0,1.0,1.0,Furnished,Owner,"Nava Naroda, Ahmedabad",Ahmedabad,MagicBricks,552,0,Mid-Range,2,2.0
"2 BHK Flat for Sale in Sun Parkwest, Shela, Ahmedabad",45.0,710.0,2.0,2.0,Unfurnished,Owner,"Sun Parkwest, Shela, Ahmedabad",Ahmedabad,MagicBricks,1053,2,High-End,1,2.0
"3 BHK Flat for Sale in Ambli, Ahmedabad",92.0,950.0,3.0,3.0,Unfurnished,Owner,"Ambli, Ahmedabad",Ahmedabad,MagicBricks,79,2,Mid-Range,2,6.0
"1 BHK Flat for Sale in Svasaar Pravesh 1, Gamdi, Ahmedabad",15.0,594.0,1.0,1.0,Unfurnished,Owner,"Svasaar Pravesh 1, Gamdi, Ahmedabad",Ahmedabad,MagicBricks,1077,2,Mid-Range,2,2.0
"2 BHK Flat for Sale in SUKIRTI TOWER, Satellite, Ahmedabad",70.0,900.0,2.0,2.0,Semi-Furnished,Owner,"Sukirti Tower, Satellite, Ahmedabad",Ahmedabad,MagicBricks,1046,1,Premium,3,6.0
"1 BHK Flat for Sale in Vasna, Ahmedabad",28.0,428.0,1.0,1.0,Unfurnished,Owner,"Vasna, Ahmedabad",Ahmedabad,MagicBricks,1158,2,High-End,1,1.0
"2 BHK Flat for Sale in Aryaman Gracia, Hiradhan City, Ahmedabad",58.0,134.0,2.0,2.0,Furnished,Owner,"Aryaman Gracia, Hiradhan City, Ahmedabad",Ahmedabad,MagicBricks,114,0,High-End,1,2.0
"2 BHK Flat for Sale in Neelkanth Heights, Hanspura, Naroda, Ahmedabad",26.0,119.0,2.0,2.0,Unfurnished,Owner,"Neelkanth Heights, Hanspura, Naroda, Ahmedabad",Ahmedabad,MagicBricks,562,2,Mid-Range,2,4.0
"2 BHK Flat for Sale in Keshavpriya Naroda Smart City 3, Dehgam Road, Ahmedabad",40.0,110.0,2.0,2.0,Furnished,Owner,"Keshavpriya Naroda Smart City 3, Dehgam Road, Ahmedabad",Ahmedabad,MagicBricks,441,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Shukan Smile City, Shukan Smile City, Ahmedabad",61.0,1055.0,2.0,2.0,Furnished,Owner,"Shukan Smile City, Shukan Smile City, Ahmedabad",Ahmedabad,MagicBricks,982,0,High-End,1,2.0
"4 BHK Flat for Sale in South Bopal, Bopal, Ahmedabad",1.65,3300.0,4.0,3.0,Unfurnished,Owner,"South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,1034,2,High-End,1,4.0
"2 BHK Flat for Sale in Shakti 140, Thaltej, Ahmedabad",75.0,650.0,2.0,2.0,Furnished,Owner,"Shakti 140, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,865,0,Premium,3,6.0
"1 BHK Flat for Sale in Atri Residency, Adinath Nagar, Ahmedabad",24.0,500.0,1.0,1.0,Semi-Furnished,Owner,"Atri Residency, Adinath Nagar, Ahmedabad",Ahmedabad,MagicBricks,141,1,Mid-Range,2,2.0
3 BHK Flat for Sale in Ahmedabad,54.0,126.0,3.0,3.0,Unfurnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,2,Mid-Range,2,6.0
"2 BHK Flat for Sale in SHARAN RESIDENCY II, Chandkheda, Ahmedabad",75.0,137.0,2.0,2.0,Furnished,Owner,"Sharan Residency Ii, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,879,0,Premium,3,6.0
"1 BHK Flat for Sale in Aroma Kesar City, Changodar, Ahmedabad",12.5,7000.0,1.0,1.0,Unfurnished,Owner,"Aroma Kesar City, Changodar, Ahmedabad",Ahmedabad,MagicBricks,109,2,Mid-Range,2,2.0
"2 BHK Flat for Sale in Landmark Greens, Chandkheda, Ahmedabad",45.0,1206.0,2.0,2.0,Furnished,Owner,"Landmark Greens, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,463,0,High-End,1,2.0
"2 BHK Flat for Sale in Bhilwas Khanpur, Ahmedabad",32.0,765.0,2.0,2.0,Semi-Furnished,Owner,"Bhilwas Khanpur, Ahmedabad",Ahmedabad,MagicBricks,174,1,Mid-Range,2,4.0
"3 BHK Flat for Sale in Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",76.0,966.0,3.0,3.0,Semi-Furnished,Owner,"Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",Ahmedabad,MagicBricks,846,1,Premium,3,9.0
"3 BHK Flat for Sale in Sarkhej Gandhinagar Highway, Ahmedabad",83.0,972.0,3.0,3.0,Unfurnished,Owner,"Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks,816,2,High-End,1,3.0
"2 BHK Flat for Sale in Shukan Smile City, Ahmedabad",56.5,130.0,2.0,2.0,Semi-Furnished,Owner,"Shukan Smile City, Ahmedabad",Ahmedabad,MagicBricks,980,1,High-End,1,2.0
"3 BHK Flat for Sale in Sharanya Altura, Shilaj, Ahmedabad",87.0,1765.0,3.0,3.0,Unfurnished,Owner,"Sharanya Altura, Shilaj, Ahmedabad",Ahmedabad,MagicBricks,884,2,Premium,3,9.0
"2 BHK Flat for Sale in Suncity Apartments, Bopal, Ahmedabad",60.0,9800.0,2.0,2.0,Furnished,Owner,"Suncity Apartments, Bopal, Ahmedabad",Ahmedabad,MagicBricks,1059,0,Premium,3,6.0
"3 BHK Flat for Sale in Serenity Sky, Sector 7 South Bopal, Ahmedabad",77.5,963.0,3.0,3.0,Furnished,Owner,"Serenity Sky, Sector 7 South Bopal, Ahmedabad",Ahmedabad,MagicBricks,855,0,Premium,3,9.0
"2 BHK Flat for Sale in Sola, Ahmedabad",86.0,900.0,2.0,2.0,Furnished,Owner,"Sola, Ahmedabad",Ahmedabad,MagicBricks,1030,0,Premium,3,6.0
"1 BHK Flat for Sale in Vastral, Ahmedabad",28.0,7000.0,1.0,1.0,Unfurnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks,1159,2,Mid-Range,2,2.0
"1 BHK Flat for Sale in Behrampura, Ahmedabad",21.0,448.0,1.0,1.0,Unfurnished,Owner,"Behrampura, Ahmedabad",Ahmedabad,MagicBricks,164,2,Mid-Range,2,2.0
"2 BHK Flat for Sale in ICB Flora, Gota, Ahmedabad",65.0,1305.0,2.0,2.0,Unfurnished,Owner,"Icb Flora, Gota, Ahmedabad",Ahmedabad,MagicBricks,376,2,Mid-Range,2,4.0
"2 BHK Flat for Sale in Saanvi Aarambh, Shivshakti Nagar Chandlodiya, Ahmedabad",45.0,1000.0,2.0,2.0,Unfurnished,Owner,"Saanvi Aarambh, Shivshakti Nagar Chandlodiya, Ahmedabad",Ahmedabad,MagicBricks,734,2,High-End,1,2.0
"3 BHK Flat for Sale in Shailraj Glory, Gurukul, Ahmedabad",1.1,1710.0,3.0,3.0,Unfurnished,Owner,"Shailraj Glory, Gurukul, Ahmedabad",Ahmedabad,MagicBricks,864,2,Budget,0,0.0
"1 BHK Flat for Sale in Akshay Residency, Chandkheda, Ahmedabad",32.0,5100.0,1.0,1.0,Unfurnished,Owner,"Akshay Residency, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,73,2,Mid-Range,2,2.0
"2 BHK Flat for Sale in Shivam Tenaments, Nikol, Ahmedabad",52.0,920.0,2.0,2.0,Furnished,Owner,"Shivam Tenaments, Nikol, Ahmedabad",Ahmedabad,MagicBricks,924,0,High-End,1,2.0
"2 BHK Flat for Sale in Kiranpark, Ahmedabad",60.0,900.0,2.0,2.0,Semi-Furnished,Owner,"Kiranpark, Ahmedabad",Ahmedabad,MagicBricks,448,1,High-End,1,2.0
"2 BHK Flat for Sale in Chanchal Saransh Earth, Vasna, Ahmedabad",60.0,780.0,2.0,2.0,Furnished,Owner,"Chanchal Saransh Earth, Vasna, Ahmedabad",Ahmedabad,MagicBricks,192,0,High-End,1,2.0
"3 BHK Flat for Sale in Nehru Nagar Ambawadi, Ahmedabad",95.0,135.0,3.0,3.0,Semi-Furnished,Owner,"Nehru Nagar Ambawadi, Ahmedabad",Ahmedabad,MagicBricks,565,1,Premium,3,9.0
"2 BHK Flat for Sale in Vatva, Ahmedabad",35.1,7800.0,2.0,2.0,Unfurnished,Agent,"Vatva, Ahmedabad",Ahmedabad,MagicBricks,1163,2,Mid-Range,2,4.0
"3 BHK Flat for Sale in Naranpura, Ahmedabad",1.7,1287.0,3.0,3.0,Unfurnished,Agent,"Naranpura, Ahmedabad",Ahmedabad,MagicBricks,540,2,Mid-Range,2,6.0
"1 BHK Flat for Sale in Rudra Anmol Arise, Vinzol, Ahmedabad",23.5,820.0,1.0,1.0,Semi-Furnished,Owner,"Rudra Anmol Arise, Vinzol, Ahmedabad",Ahmedabad,MagicBricks,727,1,Mid-Range,2,2.0
"3 BHK Flat for Sale in Avirat Silver Harmony 2, Gota, Ahmedabad",1.3,1163.0,3.0,3.0,Unfurnished,Agent,"Avirat Silver Harmony 2, Gota, Ahmedabad",Ahmedabad,MagicBricks,149,2,Budget,0,0.0
"3 BHK Flat for Sale in Pebble Bay, Chandkheda, Ahmedabad",1.1,2160.0,3.0,3.0,Furnished,Owner,"Pebble Bay, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,637,0,Budget,0,0.0
"4 BHK Flat for Sale in Swati Parkside, Shela, Ahmedabad",2.1,1733.0,4.0,3.0,Furnished,Owner,"Swati Parkside, Shela, Ahmedabad",Ahmedabad,MagicBricks,1093,0,Budget,0,0.0
"4 BHK Flat for Sale in North One, Ambli, Ahmedabad",4.22,5825.0,4.0,3.0,Unfurnished,Owner,"North One, Ambli, Ahmedabad",Ahmedabad,MagicBricks,587,2,Budget,0,0.0
"2 BHK Flat for Sale in Vasupujya Kautilya 99, Vaishnodevi Circle, Ahmedabad",62.0,1134.0,2.0,2.0,Furnished,Owner,"Vasupujya Kautilya 99, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,1161,0,High-End,1,2.0
"3 BHK Flat for Sale in PRL Colony, Thaltej, Ahmedabad",1.8,1300.0,3.0,3.0,Unfurnished,Agent,"Prl Colony, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,665,2,Budget,0,0.0
"2 BHK Flat for Sale in Goyal Orchid Whitefield, Prahlad Nagar, Ahmedabad",68.0,750.0,2.0,2.0,Furnished,Owner,"Goyal Orchid Whitefield, Prahlad Nagar, Ahmedabad",Ahmedabad,MagicBricks,336,0,Premium,3,6.0
"2 BHK Flat for Sale in Naroda, Ahmedabad",47.0,409.0,2.0,2.0,Unfurnished,Owner,"Naroda, Ahmedabad",Ahmedabad,MagicBricks,548,2,Mid-Range,2,4.0
"3 BHK Flat for Sale in Vashikaa Prime, Chandkheda, Ahmedabad",1.25,1500.0,3.0,3.0,Unfurnished,Owner,"Vashikaa Prime, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,1156,2,Budget,0,0.0
"2 BHK Flat for Sale in Chharodi, Ahmedabad",43.0,10000.0,2.0,2.0,Unfurnished,Owner,"Chharodi, Ahmedabad",Ahmedabad,MagicBricks,197,2,Mid-Range,2,4.0
"3 BHK Flat for Sale in Nikol, Ahmedabad",65.0,1440.0,3.0,3.0,Semi-Furnished,Owner,"Nikol, Ahmedabad",Ahmedabad,MagicBricks,574,1,High-End,1,3.0
"3 BHK Flat for Sale in Status Ananta, Chandkheda, Ahmedabad",78.0,1150.0,3.0,3.0,Unfurnished,Owner,"Status Ananta, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,1038,2,Premium,3,9.0
"2 BHK Flat for Sale in Narol Road, Ahmedabad",28.0,909.0,2.0,2.0,Semi-Furnished,Owner,"Narol Road, Ahmedabad",Ahmedabad,MagicBricks,549,1,Mid-Range,2,4.0
"2 BHK Flat for Sale in Vatva, Ahmedabad",29.0,815.0,2.0,2.0,Furnished,Owner,"Vatva, Ahmedabad",Ahmedabad,MagicBricks,1163,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Goyal & Co Aakash Residency, Shela, Ahmedabad",50.0,555.0,2.0,2.0,Semi-Furnished,Owner,"Goyal & Co Aakash Residency, Shela, Ahmedabad",Ahmedabad,MagicBricks,327,1,High-End,1,2.0
"1 BHK Flat for Sale in Devnandan Sankalp City, Naroda, Ahmedabad",19.0,77.0,1.0,1.0,Unfurnished,Owner,"Devnandan Sankalp City, Naroda, Ahmedabad",Ahmedabad,MagicBricks,230,2,Mid-Range,2,2.0
"3 BHK Flat for Sale in Rajshree Heights, CTM, Amraiwadi, Ahmedabad",58.0,1249.0,3.0,3.0,Furnished,Owner,"Rajshree Heights, Ctm, Amraiwadi, Ahmedabad",Ahmedabad,MagicBricks,687,0,High-End,1,3.0
"3 BHK Flat for Sale in Jay Visat Royal, Chandkheda, Ahmedabad",78.0,1530.0,3.0,3.0,Furnished,Owner,"Jay Visat Royal, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,395,0,Premium,3,9.0
"1 BHK Flat for Sale in RajYash Sahaj Solarium 2, Vasna, Ahmedabad",35.0,467.0,1.0,1.0,Unfurnished,Owner,"Rajyash Sahaj Solarium 2, Vasna, Ahmedabad",Ahmedabad,MagicBricks,695,2,High-End,1,1.0
"2 BHK Flat for Sale in Ashraya 9, Chainpur, Ahmedabad",45.0,750.0,2.0,2.0,Unfurnished,Owner,"Ashraya 9, Chainpur, Ahmedabad",Ahmedabad,MagicBricks,131,2,High-End,1,2.0
"1 BHK Flat for Sale in Rudra Anmol Arise, Vinzol, Ahmedabad",21.5,510.0,1.0,1.0,Semi-Furnished,Owner,"Rudra Anmol Arise, Vinzol, Ahmedabad",Ahmedabad,MagicBricks,727,1,Mid-Range,2,2.0
